name,height,weight,avg,HR,hand,bmi
Joe Torre,74,212,0.297,252,Right Handed,27.2
Al Ferrara,73,200,0.259,51,Right Handed,26.4
Rick Steirer,76,200,0,0,Right Handed,24.3
Sixto Lezcano,70,165,0.271,148,Right Handed,23.7
Al Lachowicz,75,198,0,0,Right Handed,24.7
Dave Nicholson,74,215,0.212,61,Right Handed,27.6
Freddie Patek,65,148,0.242,41,Right Handed,24.6
Ken Hubbs,74,175,0.247,14,Right Handed,22.5
Pepe Mangual,70,157,0.242,16,Right Handed,22.5
Leron Lee,72,196,0.25,31,Left Handed,26.6
Tom McCarthy,72,180,0,0,Right Handed,24.4
Steve Ontiveros,72,185,0.274,24,Switch Hitter,25.1
Willie Davis,74,180,0.279,182,Left Handed,23.1
Tom Lawless,71,170,0.207,2,Right Handed,23.7
Jerry Moses,75,210,0.251,25,Right Handed,26.2
Bobby Bonds,73,190,0.268,332,Right Handed,25.1
Dave McNally,71,185,0.133,9,Right Handed,25.8
Darrell Brown,72,184,0.274,1,Switch Hitter,25
Roy Foster,72,185,0.253,45,Right Handed,25.1
Denis Menke,72,185,0.25,101,Right Handed,25.1
Hal Breeden,74,200,0.243,21,Right Handed,25.7
Manny Trillo,73,150,0.263,61,Right Handed,19.8
Jackie Gutierrez,71,175,0.237,4,Right Handed,24.4
Jerry Kenney,73,170,0.237,7,Left Handed,22.4
Fred Kendall,73,185,0.234,31,Right Handed,24.4
Mike Anderson,74,200,0.246,28,Right Handed,25.7
Jim Lewis,75,190,0,0,Right Handed,23.7
Joe Charboneau,74,205,0.266,29,Right Handed,26.3
Jimmie Schaffer,69,170,0.223,11,Right Handed,25.1
Junior Kennedy,71,175,0.248,4,Right Handed,24.4
Wilbur Howard,74,170,0.25,6,Switch Hitter,21.8
Rod Gilbreath,74,180,0.248,14,Right Handed,23.1
Mark Brouhard,73,210,0.259,25,Right Handed,27.7
Dan Morogiello,73,200,0,0,Left Handed,26.4
Mike Young,74,195,0.247,72,Switch Hitter,25
Chris Speier,73,175,0.246,112,Right Handed,23.1
Gene Michael,74,183,0.229,15,Switch Hitter,23.5
Vic Harris,71,165,0.217,13,Switch Hitter,23
Mike Fischlin,73,165,0.22,3,Right Handed,21.8
Don Money,73,170,0.261,176,Right Handed,22.4
Joe Rudi,74,200,0.264,179,Right Handed,25.7
Jim Rice,74,200,0.298,382,Right Handed,25.7
Shawn Holman,74,185,0,0,Right Handed,23.8
Alan Wirth,76,190,0,0,Right Handed,23.1
Gil Garrido,69,150,0.237,1,Right Handed,22.1
Marty Perez,71,160,0.246,22,Right Handed,22.3
Tom Matchick,73,173,0.215,4,Left Handed,22.8
Jack Perconte,70,160,0.27,2,Left Handed,23
Ed Kirkpatrick,71,195,0.238,85,Left Handed,27.2
Jerry Grote,70,185,0.252,39,Right Handed,26.5
Ellie Hendricks,73,175,0.22,62,Left Handed,23.1
Jim Beauchamp,74,190,0.231,14,Right Handed,24.4
Terry Wilshusen,74,210,0,0,Right Handed,27
Tito Fuentes,71,175,0.268,45,Switch Hitter,24.4
Ron Brand,67,167,0.239,3,Right Handed,26.2
Leo Cardenas,71,150,0.257,118,Right Handed,20.9
Art Shamsky,73,168,0.253,68,Left Handed,22.2
Steve Ellsworth,80,220,0,0,Right Handed,24.2
Ron Cey,70,185,0.261,316,Right Handed,26.5
Skip Jutze,71,190,0.215,3,Right Handed,26.5
Butch Wynegar,73,190,0.255,65,Switch Hitter,25.1
Ron LeFlore,72,200,0.288,59,Right Handed,27.1
Bill Russell,72,175,0.263,46,Right Handed,23.7
Gene Tenace,72,190,0.241,201,Right Handed,25.8
Bubba Morton,70,175,0.267,14,Right Handed,25.1
Ellie Rodriguez,71,185,0.245,16,Right Handed,25.8
Darrel Chaney,74,188,0.217,14,Switch Hitter,24.1
Dick Nen,74,200,0.224,21,Left Handed,25.7
Bryan Kelly,74,195,0,0,Right Handed,25
Bill Freehan,75,203,0.262,200,Right Handed,25.4
Steve Nicosia,70,185,0.248,11,Right Handed,26.5
Ted Savage,73,185,0.233,34,Right Handed,24.4
Pete Mackanin,74,190,0.226,30,Right Handed,24.4
Rich Dauer,72,180,0.257,43,Right Handed,24.4
Mick Kelleher,69,176,0.213,0,Right Handed,26
Rowland Office,72,170,0.259,32,Left Handed,23.1
Rick Leach,73,180,0.268,18,Left Handed,23.7
Dwayne Murphy,73,185,0.246,166,Left Handed,24.4
Larry Harlow,74,185,0.248,12,Left Handed,23.8
Mike Epstein,75,230,0.244,130,Left Handed,28.7
Jerry Mumphrey,74,185,0.289,70,Switch Hitter,23.8
Don Sutton,73,185,0.144,0,Right Handed,24.4
Glenn Beckert,73,190,0.283,22,Right Handed,25.1
Ron Davis,72,175,0.233,10,Right Handed,23.7
Mike Shannon,75,195,0.255,68,Right Handed,24.4
Jason Thompson,76,200,0.261,208,Left Handed,24.3
Wayne Tolleson,69,160,0.241,9,Switch Hitter,23.6
John Leister,74,200,0,0,Right Handed,25.7
Don Cooper,73,185,0,0,Right Handed,24.4
Mike Jorgensen,72,195,0.243,95,Left Handed,26.4
Ed Romero,71,160,0.247,8,Right Handed,22.3
Rick Joseph,73,192,0.243,13,Right Handed,25.3
Cecil Cooper,74,165,0.298,241,Left Handed,21.2
Bill Almon,75,180,0.254,36,Right Handed,22.5
Joe Ferguson,74,200,0.24,122,Right Handed,25.7
Jeff Jones,75,210,0,0,Right Handed,26.2
Jerry Terrell,71,165,0.253,4,Right Handed,23
John Poloni,77,210,0,0,Left Handed,24.9
Dave Revering,76,210,0.265,62,Left Handed,25.6
Curt Ford,70,150,0.245,7,Left Handed,21.5
Jerry Dybzinski,74,180,0.234,3,Right Handed,23.1
Mike Willis,74,205,0,0,Left Handed,26.3
Bob Burda,71,174,0.224,13,Left Handed,24.3
Jesse Gonder,70,180,0.251,26,Left Handed,25.8
Gary Sutherland,72,185,0.243,24,Right Handed,25.1
Bob Coluccio,71,183,0.22,26,Right Handed,25.5
Dave Rader,71,165,0.257,30,Left Handed,23
Ron Gardenhire,72,175,0.232,4,Right Handed,23.7
Bill Sharp,70,178,0.255,9,Left Handed,25.5
Alan Bannister,71,170,0.27,19,Right Handed,23.7
Bob Watson,72,201,0.295,184,Right Handed,27.3
Ken Harrelson,74,190,0.239,131,Right Handed,24.4
Bobby Wine,73,187,0.215,30,Right Handed,24.7
Stefan Wever,80,245,0,0,Right Handed,26.9
John Kennedy,72,185,0.225,32,Right Handed,25.1
Chico Ruiz,72,169,0.24,2,Switch Hitter,22.9
Dave Johnson,73,183,0,0,Right Handed,24.1
Gail Hopkins,70,198,0.266,25,Left Handed,28.4
Doug Frobel,76,196,0.201,20,Left Handed,23.9
Luis Melendez,72,165,0.248,9,Right Handed,22.4
Jerry Augustine,72,183,0,0,Left Handed,24.8
Bill Plummer,73,190,0.188,14,Right Handed,25.1
Buck Rodgers,74,190,0.232,31,Switch Hitter,24.4
Phil Niekro,73,180,0.169,7,Right Handed,23.7
Jeff Holly,77,210,0,0,Left Handed,24.9
Tom Poquette,70,175,0.268,10,Left Handed,25.1
Eric Hetzel,75,175,0,0,Right Handed,21.9
Brian Asselstine,73,175,0.254,12,Left Handed,23.1
Rick Miller,72,175,0.269,28,Left Handed,23.7
Ed Charles,70,170,0.263,86,Right Handed,24.4
Luis Gomez,69,150,0.21,0,Right Handed,22.1
Dave Lemanczyk,76,235,0,0,Right Handed,28.6
Al Jones,76,210,0,0,Right Handed,25.6
Floyd Rayford,70,190,0.244,38,Right Handed,27.3
Sam Hinds,78,215,0,0,Right Handed,24.8
Tony Conigliaro,75,185,0.264,166,Right Handed,23.1
Clay Christiansen,77,205,0,0,Right Handed,24.3
Jim Barr,75,205,0.162,1,Right Handed,25.6
Jerry Remy,69,165,0.275,7,Left Handed,24.4
Larry Rothschild,74,180,0,0,Left Handed,23.1
Frank Duffy,73,180,0.232,26,Right Handed,23.7
Gary Lance,75,195,0,0,Switch Hitter,24.4
Tom O'Malley,72,180,0.256,13,Left Handed,24.4
Phil Garner,70,175,0.26,109,Right Handed,25.1
Larry Pashnick,75,205,0,0,Right Handed,25.6
Todd Fischer,70,170,0,0,Right Handed,24.4
